Project/Issue Number,Title,Body,Original Labels,Qwen Full Label List,Qwen RAG labels only k=7,Qwen RAG labeled issue reports k=19,Gemma Full Label List,Gemma RAG labels only k=6,Gemma RAG labeled issue reports k=2,Llama Full Label List,Llama labels only k=6,Llama labeled issue reports k=2,LLM assigned labels are better?,LLM assigned labels are the same or better?
vercel/next.js/74642,CatchAll route next-intl: no default component was found,"### Link to the code that reproduces this issue

<URL>

### To Reproduce

1. start the application with next dev
2. open the console
3. go to a non existing locale route to trigger the catch all not found page.
4. see the warning concerning parallel routes in the console, even though no parallel routes are used

### Current vs. Expected behavior

Currently a warning is shown stating: 
`No default component was found for a parallel route rendered on this page. Falling back to nearest NotFound boundary.`
This warning only appears in dev mode, so not a huge issue. 

Expected behavior would either be no warning message, since no parallel routes are being used; or a warning explaining what exactly the problem is, as it doesn't have to do with parallel routes. Maybe it's just the wording, that's off.

### Provide environment information

```The log shows Node.js version 23.5.0 running on a Darwin (macOS) system with an ARM64 architecture. The system has 12 available CPU cores and 36864 MB of available memory. The installed binaries include Node.js 23.5.0, npm 10.9.2, and pnpm 9.4.0. Yarn is not installed. Relevant package versions are listed, with `next` being an outdated version (14.2.22, latest is 15.1.4). The Next.js configuration does not specify an `output`.```


### Which area(s) are affected? (Select all that apply)

Developer Experience, Internationalization (i18n)

### Which stage(s) are affected? (Select all that apply)

next dev (local)

### Additional context

See issue from next-intl: 
<URL>","['bug', 'Internationalization (i18n)', 'locked']","['bug', 'Internationalization (i18n)', 'Not Found']","['bug', 'Internationalization (i18n)', 'Runtime']","['bug', 'Internationalization (i18n)', 'locked']","['bug', 'Internationalization (i18n)']","['bug', 'Parallel & Intercepting Routes']","['bug', 'Linking and Navigating']","['Internationalization (i18n)', 'Performance', 'bug']","['bug', 'Internationalization (i18n)']",[],0,1
rust-lang/rust/138392,Integer literal type suggestions do not account for parentheses,"### Code

```The code snippet defines a `main` function in Rust that declares a variable `x` of type `u8` and initializes it with the value `4i32`. However, this will result in a compilation error due to type mismatch.```

### Current output

```````````The code attempts to assign an `i32` literal to a `u8` variable, resulting in a type mismatch error. The error suggests changing the type of the numeric literal to `u8`.```

### Desired output

```````````The code attempts to assign an `i32` literal to a `u8` variable, resulting in a type mismatch error. The error suggests changing the type of the numeric literal to `u8`.```

### Rationale and extra context

_No response_

### Other cases

```The provided code snippet is incomplete and lacks any actual Rust code. Here is a concise summary:

    ```Rust
    // No code provided
    ``````

### Rust Version

```The log indicates the version `1.87.0-nightly` and a commit hash `6650252439d4e03368b3` from March 11, 2025.```

### Anything else?

_No response_








","['A-diagnostics', 'T-compiler']","['C-bug', 'E-medium']","['C-bug', 'A-suggestion-diagnostics', 'T-compiler']","['A-diagnostics', 'T-compiler', 'A-suggestion-diagnostics']","['T-compiler', 'T-lang', 'C-bug']","['T-compiler', 'A-suggestion-diagnostics']",[],"['A-AST', 'A-async-await', 'A-borrow-checker', 'A-type-system', 'P-critical', 'T-compiler', 'T-libs', 'T-libs-api', 'T-opsem']","['T-compiler', 'A-suggestion-diagnostics', 'A-diagnostics']",[],0,1
spring-projects/spring-boot/44079,Upgrade to Gson 2.12.1,Upgrade to [Gson 2.12.1](<URL>,['type: dependency-upgrade'],['type: dependency-upgrade'],['type: dependency-upgrade'],['type: dependency-upgrade'],['type: dependency-upgrade'],['type: dependency-upgrade'],['type: dependency-upgrade'],['type: dependency-upgrade'],[],[],0,1
spring-projects/spring-boot/44485,Fix typo in javadoc of CommonStructuredLogFormat#ELASTIC_COMMON_SCHEMA,Forward port of issue #44469 to 3.5.x.,['type: documentation'],['type: documentation'],"['type: documentation', 'type: task']",['type: documentation'],['type: documentation'],['type: documentation'],['type: documentation'],"['type: documentation', 'type: bug']",['type: documentation'],['type: documentation'],0,1
spring-projects/spring-framework/34128,Wrong parentId tracking in FlightRecorderApplicationStartup,"

It looks like the eventId and parentId of the JFR events generated by 'FlightRecorderApplicationStartup' do not match.
<img width=""1536"" alt=""image"" src=""<URL> />
<img width=""417"" alt=""image"" src=""<URL> />

I don't know if I did something wrong?

Here is my sample code and JVM parameters:
```This Java code snippet defines the `StartApplication` class annotated with `@SpringBootApplication`, which is the main entry point for a Spring Boot application. The `main` method configures and runs the application, setting a custom `ApplicationStartup` instance before running the Spring Application.```

```This code snippet sets Java Virtual Machine (JVM) options for starting a flight recording with a filename of `/data/app.jfr` and a duration of 30 seconds. It also configures the stack depth to 192 frames.```

### Additional
Spring Boot Version: 2.5.15","['type: bug', 'in: core']",['type: bug'],[],"['in: web', 'type: bug']","['in: core', 'type: bug']","['type: bug', 'in: core']","['in: messaging', 'type: bug']","['type: bug', 'in: core', 'theme: aot']","['type: bug', 'in: core']","['type: bug', 'in: core']",0,1
microsoft/vscode/240866,Wrong command for Zsh Integration RC file since `ZSH_VERSION` use Semantic Versioning,"






Does this issue occur when all extensions are disabled?: Yes



Version: 1.98.0-insider
Commit: 44028decf1ca81a0cbf99a65ab72cca6735449f2
Date: 2025-02-14T05:04:46.748Z (23 hrs ago)
Electron: 34.1.0
ElectronBuildId: 10990655
Chromium: 132.0.6834.194
Node.js: 20.18.1
V8: 13.2.152.38-electron.0
OS: Darwin x64 21.6.0

Steps to Reproduce:

1. Open VSCode
2. Open Terminal panel for Zsh
3. Got error

> /var/folders/g1/xxx/T/username-code-insiders-zsh/.zshrc:40: bad floating point constant

Reference:

<URL>

```This code snippet prints the version of the Zsh shell, which is 5.8.1.```","['bug', 'important', 'insiders-released', 'terminal-shell-zsh']","['bug', 'terminal-shell-integration']","['bug', 'terminal-shell-integration', 'terminal-shell-zsh']","['bug', 'insiders-released', 'terminal-shell-integration']",['bug'],"['bug', 'insiders-released', 'terminal-shell-integration', 'terminal-shell-zsh']",[],"['bug', 'terminal', 'electron']","['bug', 'terminal-shell-zsh', 'terminal-shell-integration']",[],0,1
facebook/react-native/49783,[Android] ConcurrentModificationException in FabricUIManager,"### Description

In this [commit](<URL> you have changed the flag `mMountNotificationScheduled` from `AtomicBoolean` to `boolean`
```The code snippet changes the declaration of `mMountNotificationScheduled` from an `@NonNull`-annotated `AtomicBoolean` to a simple `boolean`.```
but the line changing its value to `true` was removed
```This line sets and retrieves the value of `mMountNotificationScheduled` to `true` and then schedules a mount notification. The initial value of `mMountNotificationScheduled` is retrieved before it is set to `true`.```
so now the flag is always `false`.
This is probably the reason of the `ConcurrentModificationException`.

### Steps to reproduce

Couldn't provide minimum steps. It happens when animating the image to slide in. Reanimated version: 3.16.1

### React Native Version

0.76.7

### Affected Platforms

Runtime - Android

### Areas

Fabric - The New Renderer

### Output of `npx @react-native-community/cli info`

```The system log details the following:

- **OS**: macOS 15.3.1
- **CPU**: 10 cores of an Apple M1 Pro
- **Memory**: 158.77 MB used out of 32.00 GB
- **Shell**: zsh version 5.9
- **Binaries**:
  - Node.js: version 22.12.0
  - Yarn: version 1.22.22
  - npm: version 10.9.0
  - Watchman: version 2025.02.17.00
- **Managers**: CocoaPods version 1.16.0
- **SDKs**:
  - iOS: various versions including DriverKit 24.1, iOS 18.1, macOS 15.1, tvOS 18.1, visionOS 2.1, and watchOS 11.1
  - Android: API levels 33, 34, and 35; build tools 33.0.1, 34.0.0, 35```

### Stacktrace or Logs

```The log indicates a `java.util.ConcurrentModificationException` occurred on the main thread. The exception originates from an attempt to modify an `ArrayList` while an iterator is iterating over it, specifically within the `FabricUIManager$MountItemDispatchListener$1.run` method.```

### Reproducer

<URL>

### Screenshots and Videos

Copilot suggestion
![Image](<URL>","['Platform: Android', 'Type: New Architecture']","['Bug', 'Impact: Crash', 'Platform: Android', 'Tech: Fabric']","['Platform: Android', 'Tech: Fabric']","['Platform: Android', 'Tech: Fabric', 'Type: New Architecture']","['Bug', 'Impact: Crash']","['Platform: Android', 'Tech: Fabric']",[],"['Impact: Bug', 'Platform: Android', 'Tech: Fabric']","['Platform: Android', 'Type: New Architecture', 'API: LayoutAnimation']","['API: Animated', 'API: PanResponder', 'Type: New Architecture']",1,1
spring-projects/spring-boot/44779,Upgrade to Jetty 12.0.18,Upgrade to [Jetty 12.0.18](<URL>,['type: dependency-upgrade'],['type: dependency-upgrade'],['type: dependency-upgrade'],['type: dependency-upgrade'],['type: dependency-upgrade'],['type: dependency-upgrade'],['type: dependency-upgrade'],"['type: dependency-upgrade', 'type: bug']",[],['type: dependency-upgrade'],0,1
vuetifyjs/vuetify/20969,[Bug Report][3.7.11] Opacity propagating from v-dialog to v-file-upload,"
### Environment
**Vuetify Version:** 3.7.11
**Vue Version:** 3.5.13
**Browsers:** Chrome 133.0.0.0
**OS:** Windows 10

### Steps to reproduce
1. Create a v-dialog with opacity set to 0
2. Add a v-file-upload to the dialog
3. Drag and drop a file to the v-file-upload component
4. See that the v-file-upload component opacity is also 0

### Expected Behavior
Dragging a file onto the v-file-upload should result in the component being highlighted

### Actual Behavior
No highlight visible since the opacity of 0 is propagated from the dialog to the v-file-upload component

### Reproduction Link
[<URL>


","['T: bug', 'C: VOverlay']","['T: bug', 'C: VDialog', 'C: VFileUpload']","['T: bug', 'C: VFileUpload']","['T: bug', 'C: VFileUpload']","['C: VDialog', 'C: VFileUpload', 'T: bug']","['T: bug', 'C: VOverlay', 'C: VFileUpload']","['T: bug', 'C: VOverlay']","['C: VDialog', 'C: VFileUpload', 'T: bug']",['C: VFileUpload'],"['T: bug', 'C: VOverlay', 'C: VAvatar']",0,1
microsoft/vscode/241285,The types `LanguageModelChatTool` and `LanguageModelToolInformation` are incompatible when `exactOptionalPropertyTypes` set,"Version: 1.98.0-insider
Commit: 105d4af21c11ed9f13e65feba4ce4b41217e2024
Date: 2025-02-19T06:43:12.388Z
Electron: 34.1.0
ElectronBuildId: 10990655
Chromium: 132.0.6834.194
Node.js: 20.18.1
V8: 13.2.152.38-electron.0
OS: Darwin x64 22.6.0

Steps to Reproduce:

1. Set `""exactOptionalPropertyTypes"": true` in `tsconfig.json`
2. We cannot directly use the result of `vscode.lm.tools.find` with `vscode.lm.invokeTool` because the types `LanguageModelChatTool` and `LanguageModelToolInformation` are incompatible.
3. See <URL>
4. The `inputSchema` property in both types should be `inputSchema?: object | undefined;`","['bug', 'insiders-released']",['bug'],"['bug', 'api', 'typescript', 'insiders-released']","['bug', 'typescript', 'insiders-released']",[],"['bug', 'api', 'typescript']",[],"['bug', 'electron', 'capi', 'chat-lm-unavailable', 'typescript']","['bug', 'typescript', 'api', 'insiders-released']",[],1,1
FuelLabs/sway/6913,Check attribute multiplicity,"Currently, attributes that should be applied only once per item can be applied an arbitrary number of times. E.g., this compiles without any errors or warnings:

```The code snippet contains two functions with conflicting `#[inline]` attributes and a test function with duplicate `#[test]` attributes.```","['compiler', 'compiler: frontend', 'compiler: parser', 'team:compiler']",['bug'],['bug'],"['bug', 'compiler: ir', 'compiler: optimization', 'team:compiler']","['bug', 'code quality']","['bug', 'compiler']","['bug', 'compiler', 'team:compiler']","['bug', 'code quality', 'compiler', 'compiler: frontend', 'testing']","['bug', 'compiler', 'compiler: frontend']","['bug', 'compiler', 'triage', 'team:compiler']",0,1
spring-projects/spring-framework/34201,Document that http.client.requests measure the entire HTTP exchange,"Hello! 👋 

# Context
<URL>
By looking at the description of client metric, I wouldn't say, that `http.client.requests` metric includes things like eq: waiting for connection in connection pool.
Sometimes i see Spikes for dashboards with this metric and i would like to know, that those SPIKE's may be visible due to requests waiting in queue or something else.

In order to have only request time, I need to measure request time on `RequestFactory` level.


# Example
Spring Boot Version - `3.4.1`

I've prepared an small example, where I'm executing 4 requests with connection pool size equal to 2 and response from wiremock stub equal to 50ms. Here's the code: <URL>

Here's the results:
```The log shows multiple requests with durations around 52-54 ms, and HTTP client metric durations around 53-54 ms for individual requests, with some cumulative metric durations of approximately 108 ms.```

So as you can see, those last two request contains of: 
- request itself
- waiting in queue

# Proposal
I would like to add some tip for documentation like:

```The log indicates that the specified metric does not apply to the particular Request Factory being used, and thus its value may not directly correspond to the request itself. Instead, it may include additional factors such as waiting for a connection from a connection pool.```

# Question
What do you think?
Please let me know! 😄 


","['type: documentation', 'in: web']",['type: documentation'],[],"['in: web', 'type: bug']","['type: documentation', 'in: web']","['type: documentation', 'in: web']","['in: web', 'type: bug']","['in: web', 'type: documentation', 'type: enhancement']",['type: bug'],"['in: web', 'type: bug']",0,1
rust-lang/rust/138320,naked_functions: invalid instruction mnemonic <function name> on an .endef line,"On **nightly-2024-12-13** and any later version, I'm seeing compile errors in [my project](<URL> I do not get these errors on previous nightlies. My project only builds for Windows 32-bit (and requires nightly Rust), but I'm seeing this error both on native MSVC and when cross-compiling on Linux with the i686-pc-windows-gnu target. The error message in question looks like this:
```The code snippet indicates an invalid instruction mnemonic `_ZN8gm82save39confirm_before_deleting_action_timeline17h22d105fcf186e7cce@0` in inline assembly. The error is noted at line 1808 of the assembly file, specifically marking the end definition for the mnemonic.```
No additional information is printed with `RUST_BACKTRACE=1`.

This error occurs for the following functions on debug and release builds (listing manged function names, links point to relevant source code):
* [@_ZN8gm82save37confirm_before_deleting_action_object17h30a220a8f4863defE@0
](<URL>
* [@_ZN8gm82save39confirm_before_deleting_action_timeline17h22d105fcf186e7ccE@0
](<URL>

And for the following functions, only on release builds:
* [@_ZN8gm82save6delphi7TBitmap19load_from_clipboard17h9cbf20c58e920f0dE@4](<URL>
* [@_ZN8gm82save9code_form30trigger_disable_condition_memo17hd451c78277cada2bE@0
](<URL>
* [@_ZN8gm82save11font_render39_$LT$impl$u20$gm82save..asset..Font$GT$21copy_glyph_onto_atlas17h2c7e90248cebc313E@32](<URL>

All of the above are naked functions. The project contains many other naked functions; I don't know whether these are special or whether it just didn't get to any others. I've tried a blank project with just one naked function, and that compiles without issue.

The date and error message seem to point to #128004 (.endef is generated [here](<URL> but I'm not familiar enough with the internals to identify what's wrong here.

The issue can be reproduced by cloning <URL> and running `cargo build` (with or without `--release`, specifying `--target=i686-pc-windows-gnu` if necessary). There's no unusual dependencies.","['O-windows', 'T-compiler', 'A-naked', 'C-bug', 'F-naked_functions']","['A-naked', 'F-naked_functions']","['regression-from-stable-to-nightly', 'requires-nightly', 'A-naked', 'A-codegen', 'F-naked_functions']","['I-ICE', 'T-compiler', 'C-bug', 'O-windows', 'A-naked']",[],"['T-compiler', 'C-bug', 'regression-from-stable-to-nightly', 'O-windows', 'O-windows-msvc', 'O-windows-gnu', 'A-codegen', 'requires-nightly', 'P-high']",[],"['C-bug', 'A-name-mangling', 'A-naked', 'A-mir-opt', 'T-compiler']","['T-compiler', 'C-bug', 'A-naked', 'F-naked_functions', 'A-ABI', 'O-windows', 'A-diagnostics']",[],0,1
angular/angular/59378,"schema.json in ""Schematics for libraries"" is missing the default value for the `path` property","### Describe the problem that you experienced

In ""Schematics for libraries"", the `schema.json` template defined the `path` property without any `$default` value. The `path` option will remain undefined when running the schematics, which contradicts with the documentation below.

> The path option in the schematic's schema is substituted by default with the current working directory.

### Enter the URL of the topic with the problem

<URL>

### Provide any additional information here in as much as detail as you can

The correct template for the `path` property should be

```This code snippet defines a JSON schema property for a ""path"" with the following characteristics:
- Type: string
- Format: path
- Description: The path to create the service.
- Visible: false
- Default value sourced from ""workingDirectory""```",['area: docs'],['bug'],['area: core'],[],"['area: docs', 'type: bug/fix']",['area: core'],[],"['bug', 'feature']","['area: docs', 'regression']",['area: docs'],0,1
elastic/elasticsearch/121867,[CI] DocsClientYamlTestSuiteIT test {yaml=reference/cat/health/cat-health-no-timestamp-example} failing,"**Build Scans:**
- [elasticsearch-intake #17410 / part1](<URL>
- [elasticsearch-pull-request #54869 / part-1](<URL>

**Reproduction Line:**
```This command runs a specific test case using Gradle for the Elasticsearch project. It targets the `yamlRestTest` task in the `docs` module and executes `test` from `DocsClientYamlTestSuiteIT` with the specified YAML file. Additional flags set the test seed, locale, timezone, and Java runtime version.```

**Applicable branches:**
main

**Reproduces locally?:**
N/A

**Failure History:**
[See dashboard](<URL>

**Failure Message:**
```The log indicates an `AssertionError` where the expected regex pattern for the `$body` field did not match the actual content. The expected pattern and the actual content are provided in the log.```

**Issue Reasons:**
- [main] 2 failures in test test {yaml=reference/cat/health/cat-health-no-timestamp-example} (0.5% fail rate in 373 executions)

**Note:**
This issue was created using new test triage automation. Please report issues or feedback to es-delivery.","[':Delivery/Build', '>test-failure', 'Team:Delivery']",['>test-failure'],[],"['>test-failure', ':Data Management/Data streams', 'Team:Data Management', 'low-risk']",['release highlight'],[],[],"['>test', '>test-failure']",['low-risk'],[],0,0
rust-lang/rust/136273,ICE: the trait bound `T: ~const Deref` is not satisfied,"

### Code

[Playground link](<URL>
```This Rust code defines a `Wrap` struct that implements both `Deref` and `DerefMut` traits to enable borrowing its inner value. It also includes a `const` method `get_pinned_mut` that returns a pinned mutable reference to the inner value, using the `Pin` trait. The method uses `Pin::new_unchecked` to create a pinned reference, assuming structural pinning is followed.```


### Meta


`rustc --version --verbose`:
```The log indicates that the Rust compiler version is 1.86.0-nightly, built on 2025-01-29 with commit hash ae5de6c759cd337ecdb2de4e94f47eaafb5d4606. It is hosted on an x86_64-unknown-linux-gnu system and includes LLVM version 19.1.7.```

### Error output

```````The log indicates that no errors were encountered during the initial run, but delayed bugs were created and are now showing as internal compiler errors. Specifically, there is an internal compiler error related to the trait bound `T: ~const Deref` at line 26 of `src/lib.rs`. The error originated from a file in the Rust compiler's source code and is disabled, preventing a full backtrace. The log suggests reporting this issue and provides instructions on how to do so, including attaching a specific file and ensuring the latest nightly version of the compiler is used.```


<details><summary><strong>Backtrace</strong></summary>
<p>

`````The log indicates a delayed bug in Rust, specifically related to a missing trait bound `T: ~const std::ops::Deref`. The error originates from the `rustc_errors` module and is propagated through various components of the Rust compiler, including type checking, trait selection, and expression validation. The bug occurs during the analysis phase of the compilation process. The stack trace shows the flow of the error from initial emission to deeper type checking and expression validation functions. The log also includes information about the Rust compiler version (1.86.0-nightly) and the platform (x86_64-unknown-linux-gnu).```

</p>
</details>
","['I-ICE', 'T-compiler', 'C-bug', 'F-const_trait_impl']","['C-bug', 'I-ICE', 'A-pin']","['I-ICE', 'T-compiler', 'C-bug', 'F-const_trait_impl', 'requires-nightly']","['I-ICE', 'T-compiler', 'C-bug']","['C-bug', 'I-ICE']","['I-ICE', 'T-compiler', 'C-bug', 'F-const_trait_impl', 'requires-nightly']",[],['const-generics-bad-diagnostics'],"['I-ICE', 'T-compiler', 'F-const_trait_impl', 'F-const_mut_refs', 'F-const_refs_to_static']",[],0,1
rust-lang/rust/138172,CoercePointee doesn't support trait bounds on the smart pointer,"I tried this code:

```The code snippet defines a custom Arc-like smart pointer `MyArc` for types that implement `MyTrait`. It uses Rust's `CoercePointee` and `arbitrary_self_types` features to create a transparent wrapper around `std::sync::Arc`. The `MyArc` struct is designed to be used with types implementing `MyOtherTrait`, which in turn extends `MyTrait`. The `test` function demonstrates using `MyArc` with a trait object of `MyOtherTrait`.```

I expected to see this happen: It compiles.
Instead, this happened: 
```````````````````The code snippet indicates that the trait `MyOtherTrait` is not dynamically compatible because its `foo` method has a self parameter of type `MyArc<Self>`. For a trait to be dynamically dispatchable (`dyn` compatible), its self parameter must be either `self: Self` (for non-reference types) or `&self: &Self` (for reference types). The error suggests changing the `foo` method's self parameter to `&Self`.```
","['T-compiler', 'C-bug', 'F-derive_coerce_pointee']","['A-coercions', 'A-dyn-trait']","['F-derive_coerce_pointee', 'A-trait-system', 'A-diagnostics']","['T-compiler', 'C-bug', 'F-derive_coerce_pointee']","['A-dyn-compatibility', 'A-trait-system', 'C-bug']","['F-derive_coerce_pointee', 'T-compiler', 'A-trait-system', 'A-diagnostics']","['F-derive_coerce_pointee', 'T-types']","['A-dyn-compatibility', 'A-dyn-trait', 'C-bug']","['T-compiler', 'A-trait-system', 'C-bug']","['T-compiler', 'C-bug', 'F-derive_coerce_pointee']",0,1
